experiment_name,variant,batch_id,batch_size,seed,measured_runs,warmup_runs,input_hash,ciphertext_size_bytes,matching_runtime_s_mean,matching_runtime_s_median,matching_runtime_s_std,matching_runtime_s_min,matching_runtime_s_max,encryption_runtime_s_mean,encryption_runtime_s_median,encrypted_computation_runtime_s_mean,encrypted_computation_runtime_s_median,decryption_runtime_s_mean,decryption_runtime_s_median,batch_wall_clock_runtime_s,experiment_wall_clock_runtime_s,command_wall_clock_runtime_s,command_wall_clock_runtime_ms,total_runtime_s_mean,total_runtime_s_median,total_runtime_s_std,total_runtime_s_min,total_runtime_s_max,throughput_orders_per_second_mean,throughput_orders_per_second_median,throughput_orders_per_second_std,matched_volume,matched_trades_count,unmatched_orders_count,correctness_pass,audit_overhead_s_mean,audit_overhead_percent_mean,blockchain_runtime_s_mean,blockchain_tx_count_mean,blockchain_gas_used_total_mean
plaintext_blockchain,plaintext_blockchain,batch_0001,100,42,5,1,b179599a544e57f74f1393d1fca886c3e6d36455f3f1a7fd9cfbc685969a39cd,0,0.0046015760000273,0.0046074360000147,0.0001021283172332,0.0044950220000146,0.0047276830000555,0.0,0.0,0.0,0.0,0.0,0.0,106.30357973699996,538.670701157,541.508109971,541508.109971,106.30357973699996,106.30357973699996,0.0,106.30357973699996,106.30357973699996,0.9407020934516476,0.9407020934516476,0.0,13911,58,42,True,105.9423926930001,2303213.269750998,105.938743961,3.0,753478.0
plaintext_blockchain,plaintext_blockchain,batch_0002,500,42,5,1,586db1768c3025fbc1c1c07343da20ad62e29db7456f4f76e8879fe793ba4fc6,0,0.0067647197999804,0.0067924300000186,0.000196671266813,0.0065089529999795,0.0070309789999782,0.0,0.0,0.0,0.0,0.0,0.0,107.97623451000004,538.670701157,541.508109971,541508.109971,107.97623451000004,107.97623451000004,0.0,107.97623451000004,107.97623451000004,4.63064860771463,4.63064860771463,0.0,63799,243,257,True,107.56210149499998,1591120.5889017223,107.55613532200005,3.0,736414.0
plaintext_blockchain,plaintext_blockchain,batch_0003,1000,42,5,1,4c561bcab53e481f95cc662b055b193762c2df91011afcd9c25ff348dac631f8,0,0.0090972727999997,0.009155531000033,0.0001613288904897,0.0088793020000821,0.0092950480000126,0.0,0.0,0.0,0.0,0.0,0.0,107.96326453999995,538.670701157,541.508109971,541508.109971,107.96326453999995,107.96326453999995,0.0,107.96326453999995,107.96326453999995,9.2624098044896,9.2624098044896,0.0,125172,491,508,True,107.58425768799997,1182897.675930872,107.57580317099992,3.0,736438.0
plaintext_blockchain,plaintext_blockchain,batch_0004,5000,42,5,1,8bff75da552ff322acae5e7721e387536210d74a90d9606968d5a5e2a88013d9,0,0.0293138515999771,0.0290512620000527,0.0014599043048489,0.0282092179999153,0.0317704609999509,0.0,0.0,0.0,0.0,0.0,0.0,107.94361062500012,538.670701157,541.508109971,541508.109971,107.94361062500012,107.94361062500012,0.0,107.94361062500012,107.94361062500012,46.32048132399586,46.32048132399586,0.0,628619,2515,2483,True,107.41834697199984,367137.6982024935,107.38420735199983,3.0,736402.0
plaintext_blockchain,plaintext_blockchain,batch_0005,10000,42,5,1,0fcf5fc3cc5876d4e4911d80ab5a8962c948072dcbbd96654fcb9403700a79b0,0,0.0574296319999575,0.0569979590000002,0.0034480188936409,0.0534154080000917,0.0611671659999046,0.0,0.0,0.0,0.0,0.0,0.0,108.00048656500007,538.670701157,541.508109971,541508.109971,108.00048656500007,108.00048656500007,0.0,108.00048656500007,108.00048656500007,92.59217544340878,92.59217544340878,0.0,1275479,4951,5040,True,107.31999749199986,187412.06404943444,107.249723571,3.0,736438.0
