experiment_name,variant,batch_id,batch_size,run_id,is_warmup,seed,input_hash,ciphertext_size_bytes,matching_runtime_s,encryption_runtime_s,encrypted_computation_runtime_s,decryption_runtime_s,evidence_write_runtime_s,hashing_runtime_s,blockchain_runtime_s,total_runtime_s,throughput_orders_per_second,matched_volume,matched_trades_count,unmatched_orders_count,correctness_pass,blockchain_tx_count,blockchain_gas_used_total,blockchain_block_number,blockchain_transaction_hash,created_at,buy_volume,sell_volume,executed_trade_count,total_runtime_ms,encryption_time_ms,encrypted_computation_time_ms,decryption_time_ms,blockchain_time_ms,gas_used,block_number,transaction_hash
paillier_phe_blockchain,paillier_phe_blockchain,batch_0001,100,warmup_0001,True,42,b179599a544e57f74f1393d1fca886c3e6d36455f3f1a7fd9cfbc685969a39cd,102398,0.0,11.69895166799688,0.12222498300252482,0.03232398100226419,0.0,0.0,0.0,11.85350063200167,8.436326373495394,23008,0,0,True,0,0,0,,2026-06-10T18:37:17.224544+00:00,25027,23008,0,11853.50063200167,11698.95166799688,122.22498300252482,32.32398100226419,0.0,0,0,
paillier_phe_blockchain,paillier_phe_blockchain,batch_0001,100,measured_0001,False,42,b179599a544e57f74f1393d1fca886c3e6d36455f3f1a7fd9cfbc685969a39cd,102400,0.0,11.924491498000862,0.1332494489979581,0.03501582600074471,0.004968895998899825,3.782099884119816e-05,0.0,12.097763489997305,8.265990658743013,23008,0,0,False,0,0,1523,,2026-06-10T18:38:24.280142+00:00,25027,23008,0,12097.763489997305,11924.491498000862,133.2494489979581,35.01582600074471,0.0,0,1523,
paillier_phe_blockchain,paillier_phe_blockchain,batch_0001,100,measured_0002,False,42,b179599a544e57f74f1393d1fca886c3e6d36455f3f1a7fd9cfbc685969a39cd,102400,0.0,12.053000060997874,0.12468324400106212,0.03293901500001084,0.004968895998899825,3.782099884119816e-05,0.0,12.215629036996688,8.186234183858764,23008,0,0,False,0,0,1523,,2026-06-10T18:38:24.280157+00:00,25027,23008,0,12215.629036996688,12053.000060997874,124.68324400106212,32.93901500001084,0.0,0,1523,
paillier_phe_blockchain,paillier_phe_blockchain,batch_0001,100,measured_0003,False,42,b179599a544e57f74f1393d1fca886c3e6d36455f3f1a7fd9cfbc685969a39cd,102397,0.0,12.005132684000273,0.1242850089984131,0.03448123199996189,0.004968895998899825,3.782099884119816e-05,0.0,12.168905641996389,8.217665823201694,23008,0,0,False,0,0,1523,,2026-06-10T18:38:24.280164+00:00,25027,23008,0,12168.905641996389,12005.132684000273,124.2850089984131,34.48123199996189,0.0,0,1523,
paillier_phe_blockchain,paillier_phe_blockchain,batch_0001,100,measured_0004,False,42,b179599a544e57f74f1393d1fca886c3e6d36455f3f1a7fd9cfbc685969a39cd,102399,0.0,12.273189630999696,0.12897879199954332,0.03473287199813058,0.004968895998899825,3.782099884119816e-05,0.0,12.44190801199511,8.037352462628004,23008,0,0,False,0,0,1523,,2026-06-10T18:38:24.280170+00:00,25027,23008,0,12441.90801199511,12273.189630999696,128.97879199954332,34.73287199813058,0.0,0,1523,
paillier_phe_blockchain,paillier_phe_blockchain,batch_0001,100,measured_0005,False,42,b179599a544e57f74f1393d1fca886c3e6d36455f3f1a7fd9cfbc685969a39cd,102399,0.0,12.051111802000378,0.12655284499851405,0.03376853300142102,0.004968895998899825,3.782099884119816e-05,0.0,12.216439896998054,8.185690826717282,23008,0,0,False,0,0,1523,,2026-06-10T18:38:24.280175+00:00,25027,23008,0,12216.439896998054,12051.111802000378,126.55284499851405,33.76853300142102,0.0,0,1523,
paillier_phe_blockchain,paillier_phe_blockchain,batch_0002,500,warmup_0001,True,42,586db1768c3025fbc1c1c07343da20ad62e29db7456f4f76e8879fe793ba4fc6,511996,0.0,62.2030729979997,0.1528220660002262,0.03444250200118404,0.0,0.0,0.0,62.39033756600111,8.01406146378136,123887,0,0,True,0,0,0,,2026-06-10T18:39:31.032353+00:00,131747,123887,0,62390.33756600111,62203.0729979997,152.8220660002262,34.44250200118404,0.0,0,0,
paillier_phe_blockchain,paillier_phe_blockchain,batch_0002,500,measured_0001,False,42,586db1768c3025fbc1c1c07343da20ad62e29db7456f4f76e8879fe793ba4fc6,511997,0.0,63.8018533100003,0.15282298300007824,0.03468255699772271,0.015434508000907954,5.5674001487204805e-05,102.12600073700378,166.13084976900427,3.0096758109359114,123887,0,0,True,3,716649,1648,fea6ac4edf042089eb2bec191a74851d946028fb0bb5d376329d5246bb297628,2026-06-10T18:47:15.393307+00:00,131747,123887,0,166130.84976900427,63801.8533100003,152.82298300007824,34.68255699772271,102126.00073700378,716649,1648,fea6ac4edf042089eb2bec191a74851d946028fb0bb5d376329d5246bb297628
paillier_phe_blockchain,paillier_phe_blockchain,batch_0002,500,measured_0002,False,42,586db1768c3025fbc1c1c07343da20ad62e29db7456f4f76e8879fe793ba4fc6,511992,0.0,63.37705413200092,0.1636221150001802,0.03554147599788848,0.015434508000907954,5.5674001487204805e-05,102.12600073700378,165.71770864200516,3.0171790576717092,123887,0,0,True,3,716649,1648,fea6ac4edf042089eb2bec191a74851d946028fb0bb5d376329d5246bb297628,2026-06-10T18:47:15.393334+00:00,131747,123887,0,165717.70864200516,63377.05413200092,163.6221150001802,35.54147599788848,102126.00073700378,716649,1648,fea6ac4edf042089eb2bec191a74851d946028fb0bb5d376329d5246bb297628
paillier_phe_blockchain,paillier_phe_blockchain,batch_0002,500,measured_0003,False,42,586db1768c3025fbc1c1c07343da20ad62e29db7456f4f76e8879fe793ba4fc6,511991,0.0,65.12371367700325,0.15643028599879472,0.03536071399867069,0.015434508000907954,5.5674001487204805e-05,102.12600073700378,167.4569955960069,2.9858412198332953,123887,0,0,True,3,716649,1648,fea6ac4edf042089eb2bec191a74851d946028fb0bb5d376329d5246bb297628,2026-06-10T18:47:15.393342+00:00,131747,123887,0,167456.9955960069,65123.71367700325,156.43028599879472,35.36071399867069,102126.00073700378,716649,1648,fea6ac4edf042089eb2bec191a74851d946028fb0bb5d376329d5246bb297628
