variant,batch_id,batch_size,matching_runtime_s_mean,encryption_runtime_s_mean,encrypted_computation_runtime_s_mean,decryption_runtime_s_mean,evidence_write_runtime_s_mean,hashing_runtime_s_mean,blockchain_runtime_s_mean,total_runtime_s_mean,matching_percent,encryption_percent,encrypted_computation_percent,decryption_percent,evidence_write_percent,hashing_percent,blockchain_percent
paillier_phe,batch_0001,100,0.0,12.424595316200064,0.1303975343999809,0.0344245197999498,0.001045299999987,0,0.0,75.37537568099992,0.0,16.483626388520893,0.17299752501644983,0.04567077707929393,0.00138679242463861,0,0.0
paillier_phe,batch_0002,500,0.0,61.99479397000009,0.1568141684000238,0.0348296581999875,0.0009054040000137,0,0.0,373.8018437630001,0.0,16.58493530848028,0.04195114898883377,0.009317679615852937,0.00024221496365538242,0,0.0
paillier_phe,batch_0003,1000,0.0,125.60977160420006,0.1853978588000245,0.0345212760000322,0.0035319636000167,0,0.0,755.729268953,0.0,16.62100129828529,0.024532311558724967,0.0045679421742998725,0.0004673583180005641,0,0.0
paillier_phe,batch_0004,5000,0.0,634.053785265,0.4284041223997519,0.0347875022002881,0.0032030515999394,0,0.0,3793.956685298,0.0,16.712204114560087,0.011291750484655375,0.0009169188023440936,8.44250966899959e-05,0,0.0
paillier_phe,batch_0005,10000,0.0,1309.2608136179997,0.7633807843998511,0.0368375691996334,0.0060361954001564,0,0.0,7877.279734705999,0.0,16.620722606175985,0.009690918821081355,0.00046764327839384867,7.662791729436642e-05,0,0.0
paillier_phe_blockchain,batch_0001,100,0.0,12.061385135199815,0.1275498677990981,0.0341874956000538,0.005006716997741,0,0.0,73.08982631199979,0.0,16.502139550466538,0.1745111108276873,0.046774629692123024,0.006850087420332266,0,0.0
paillier_phe_blockchain,batch_0002,500,0.0,64.6027424360007,0.1594396242006041,0.0355400899992673,0.015490182002380948,0,102.12600073700378,488.7007779500018,0.0,13.219283731651865,0.03262520368177439,0.007272362067511042,0.0031696659185522563,0,20.897450003128935
paillier_phe_blockchain,batch_0003,1000,0.0,129.928320033801,0.1958361073986452,0.0363058251998154,0.030206100000242486,0,106.6576671900002,888.1060598639997,0.0,14.629820232698062,0.022050981999676325,0.0040880055705706025,0.0034011816116723834,0,12.009564173712906
paillier_phe_blockchain,batch_0004,5000,0.0,641.6365650584005,0.4430394686001818,0.0347607600007904,0.10361756700150693,0,97.27954340099676,3960.324544269999,0.0,16.2016157485566,0.01118694853534653,0.0008777250352141985,0.0026163907993708786,0,2.456352814360778
paillier_phe_blockchain,batch_0005,10000,0.0,1442.511612503,0.954534593000426,0.0484900944000401,0.666156478000616,0,98.92403280400322,8593.385623636,0.0,16.78630141460648,0.011107782599386561,0.0005642722964353967,0.007751967701395372,0,1.1511648276543518
plaintext,batch_0001,100,0.0043572452000034,0.0,0.0,0.0,0.0,0,0.0,0.1665087609999886,2.6168263902964832,0.0,0.0,0.0,0.0,0,0.0
plaintext,batch_0002,500,0.0064385415999936,0.0,0.0,0.0,0.0,0,0.0,0.1736643739999976,3.707462533446088,0.0,0.0,0.0,0.0,0,0.0
plaintext,batch_0003,1000,0.0088022481999928,0.0,0.0,0.0,0.0,0,0.0,0.1928477089999773,4.564351967486342,0.0,0.0,0.0,0.0,0,0.0
plaintext,batch_0004,5000,0.03008516619999,0.0,0.0,0.0,0.0,0,0.0,0.3251101319999634,9.253838388522873,0.0,0.0,0.0,0.0,0,0.0
plaintext,batch_0005,10000,0.0574621483999976,0.0,0.0,0.0,0.0,0,0.0,0.5016706989999875,11.45415678343196,0.0,0.0,0.0,0.0,0,0.0
plaintext_blockchain,batch_0001,100,0.0046015760000273,0.0,0.0,0.0,0.0036487320001015178,0,105.938743961,106.30357973699996,0.0043287121764025395,0.0,0.0,0.0,0.003432369830939515,0,99.65679822175078
plaintext_blockchain,batch_0002,500,0.0067647197999804,0.0,0.0,0.0,0.005966172999933406,0,107.55613532200005,107.97623451000004,0.006265008064671765,0.0,0.0,0.0,0.005525450139105248,0,99.61093365599716
plaintext_blockchain,batch_0003,1000,0.0090972727999997,0.0,0.0,0.0,0.008454517000046735,0,107.57580317099992,107.96326453999995,0.008426266877683379,0.0,0.0,0.0,0.00783092011534569,0,99.64111740169132
plaintext_blockchain,batch_0004,5000,0.0293138515999771,0.0,0.0,0.0,0.03413962000000481,0,107.38420735199983,107.94361062500012,0.02715663431142251,0.0,0.0,0.0,0.03162727261237078,0,99.48176342280817
plaintext_blockchain,batch_0005,10000,0.0574296319999575,0.0,0.0,0.0,0.07027392099985263,0,107.249723571,108.00048656500007,0.053175345617904685,0.0,0.0,0.0,0.06506815222314603,0,99.30485221143127
