experiment_name,variant,batch_id,batch_size,run_id,total_runtime_s
plaintext_blockchain,plaintext_blockchain,batch_0001,100,measured_0004,105.94700012900012
plaintext_blockchain,plaintext_blockchain,batch_0001,100,measured_0005,105.94689757800018
plaintext_blockchain,plaintext_blockchain,batch_0002,500,measured_0001,107.56861044799996
plaintext_blockchain,plaintext_blockchain,batch_0002,500,measured_0002,107.568893925
plaintext_blockchain,plaintext_blockchain,batch_0002,500,measured_0003,107.56893906499988
plaintext_blockchain,plaintext_blockchain,batch_0002,500,measured_0004,107.56913247399996
plaintext_blockchain,plaintext_blockchain,batch_0002,500,measured_0005,107.568755162
plaintext_blockchain,plaintext_blockchain,batch_0003,1000,measured_0001,107.59313699000003
plaintext_blockchain,plaintext_blockchain,batch_0003,1000,measured_0002,107.59341767099988
plaintext_blockchain,plaintext_blockchain,batch_0003,1000,measured_0003,107.59325418799992
plaintext_blockchain,plaintext_blockchain,batch_0003,1000,measured_0004,107.59355273599998
plaintext_blockchain,plaintext_blockchain,batch_0003,1000,measured_0005,107.593413219
plaintext_blockchain,plaintext_blockchain,batch_0004,5000,measured_0001,107.44766740299984
plaintext_blockchain,plaintext_blockchain,batch_0004,5000,measured_0002,107.45011743299982
plaintext_blockchain,plaintext_blockchain,batch_0004,5000,measured_0003,107.44739823399992
plaintext_blockchain,plaintext_blockchain,batch_0004,5000,measured_0004,107.44656485799986
plaintext_blockchain,plaintext_blockchain,batch_0004,5000,measured_0005,107.44655618999978
plaintext_blockchain,plaintext_blockchain,batch_0005,10000,measured_0001,107.37699545099986
plaintext_blockchain,plaintext_blockchain,batch_0005,10000,measured_0002,107.37486283399971
plaintext_blockchain,plaintext_blockchain,batch_0005,10000,measured_0003,107.37341289999996
plaintext_blockchain,plaintext_blockchain,batch_0005,10000,measured_0004,107.3806997769998
plaintext_blockchain,plaintext_blockchain,batch_0005,10000,measured_0005,107.38116465799976
